Team Name,Player Number,Player,Pos,Ht,Wt,Age,Yrs of EXP,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Miami Dolphins,26,Salvon Ahmed,RB,5-11,197,24,3,,,,Erik Schmella,The Familie,Erik Schmella,The Familie
Miami Dolphins,33,Eli Apple,DB,6-1,203,28,7,,,,Joel Segal,WME Football,Joel Segal,Lagardere Unlimited
Miami Dolphins,72,Terron Armstead,OT,6-5,305,32,10,,,,William Heck,"SPORTSTARS, INC.",Dave Butz,"SPORTSTARS, INC."
Miami Dolphins,16,Jake Bailey,P,6-2,205,26,4,,,,Shahin Aslani,Wasserman Media Group,"Will Wilson, Doug Hendrickson",Wasserman Media Group
Miami Dolphins,55,Jerome Baker,LB,6-2,225,26,5,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Miami Dolphins,0,Braxton Berrios,WR,5-9,190,28,5,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Miami Dolphins,20,Justin Bethel,DB,6-0,200,33,11,,,,Damarius Bilbo,Klutch Sports Group,Damarius Bilbo,Klutch Sports Group
Miami Dolphins,22,Elijah Campbell,DB,5-11,195,28,3,,,,-,-,-,-
Miami Dolphins,3,Robbie Chosen,WR,6-3,185,30,-,,,,-,-,-,-
Miami Dolphins,2,Bradley Chubb,LB,6-4,275,27,5,,,,Erik Burkhardt,Roc Nation Sports,Erik Burkhardt,Roc Nation Sports
Miami Dolphins,83,Chase Claypool,WR,6-4,238,25,3,,,,Travis Allen,Athletes First,-,Athletes First
Miami Dolphins,66,Lester Cotton,OG,6-4,335,27,1,,,,-,-,-,-
Miami Dolphins,98,Raekwon Davis,DT,6-7,335,26,3,,,,Travis Allen,Athletes First,-,Athletes First
Miami Dolphins,74,Liam Eichenberg,OT,6-5,306,25,2,,,,Tommy Condon,CAA Football,"Tom Condon, Tommy Condon",CAA Football
Miami Dolphins,21,DeShon Elliott,DB,6-1,210,26,5,,,,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Miami Dolphins,44,Blake Ferguson,LS,6-3,240,26,3,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Miami Dolphins,53,Cameron Goode,LB,6-3,238,25,1,,,,Matthew Lowe,OSMG Midwest LLC,-,OSMG 
Miami Dolphins,93,Da'Shawn Hand,DT,6-3,297,27,5,,,,-,-,Sean Kiernan,Select Sports Group
Miami Dolphins,89,Julian Hill,TE,6-4,247,--,1,,,,-,-,-,-
Miami Dolphins,10,Tyreek Hill,WR,5-10,191,29,7,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Miami Dolphins,8,Jevon Holland,DB,6-1,210,23,2,,,,David Mulugheta/Kyle McCarthy,Athletes First,"David Mulugheta, Kyle McCarthy",Athletes First
Miami Dolphins,25,Xavien Howard,DB,6-1,203,30,7,,,,David Canter,GSE Worldwide Football,David Canter,DEC Management
Miami Dolphins,68,Robert Hunt,OG,6-6,335,27,3,,,,Travis Allen,Athletes First,-,Athletes First
Miami Dolphins,30,Alec Ingold,RB,6-1,235,27,4,,,,Alan Bullington,MGC Sports,-,MGC Sports
Miami Dolphins,73,Austin Jackson,OG,6-5,320,24,3,,,,Joe Panos/Brian Murphy,Athletes First,"Joe Panos, Brian Murphy, Savannah Foster",Athletes First
Miami Dolphins,29,Brandon Jones,DB,6-1,191,25,3,,,,William McElroy,Select Sports Group,-,Select Sports Group
Miami Dolphins,65,Robert Jones,OG,6-4,334,24,2,,,,-,-,-,-
Miami Dolphins,9,Kelvin Joseph,DB,6-1,192,22,2,,,,Joel Segal,WME Football,Joel Segal,SportFive
Miami Dolphins,4,Kader Kohou,DB,5-10,195,24,1,,,,-,-,-,-
Miami Dolphins,82,Tyler Kroft,TE,6-6,252,31,8,,,,Rick Smith,Priority Sports & Entertainment,Mike McCartney,Priority Sports & Entertainment
Miami Dolphins,70,Kendall Lamm,OT,6-5,310,31,8,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Miami Dolphins,51,David Long,LB,5-11,227,27,4,,,,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Miami Dolphins,31,Raheem Mostert,RB,5-10,205,31,8,,,,-,-,-,-
Miami Dolphins,40,Nik Needham,DB,6-1,196,27,4,,,,Joby Branion,Vanguard Sports Group ,Joby Branion,Vanguard Sports Group 
Miami Dolphins,91,Emmanuel Ogbah,DE,6-4,278,30,7,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Miami Dolphins,15,Jaelan Phillips,LB,6-5,263,24,2,,,,Brian Ayrault,WME Football,"Brian Ayrault, Ben Renzin",William Morris Endeavor
Miami Dolphins,5,Jalen Ramsey,DB,6-1,208,29,7,,,,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Miami Dolphins,45,Duke Riley,LB,6-1,227,29,6,,,,Peter von Gontard,Young Money APAA Sports,Peter von Gontard,-
Miami Dolphins,7,Jason Sanders,K,5-11,190,27,5,,,,Gil Scott,Gil Scott Sports Management,Gil Scott,Gil Scott Sports Management
Miami Dolphins,92,Zach Sieler,DT,6-6,305,28,5,,,,Drew Rosenhaus/Jason Rosenhaus,Rosenhaus Sports Representation,"Drew Rosenhaus, Jason Rosenhaus",Rosenhaus Sports
Miami Dolphins,24,Cam Smith,DB,6-1,180,--,1,,,,Zachary Hiller,LAA Sports,-,LAA Sports
Miami Dolphins,71,Kion Smith,OT,6-5,311,25,1,,,,-,-,-,-
Miami Dolphins,81,Durham Smythe,TE,6-6,246,28,5,,,,-,-,Tom Condon,CAA Sports
Miami Dolphins,1,Tua Tagovailoa,QB,6-1,217,25,3,,,,Austin Lyman,Athletes First,Austin Lyman,Athletes First
Miami Dolphins,6,Skylar Thompson,QB,6-2,219,26,1,,,,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
Miami Dolphins,41,Channing Tindall,LB,6-2,232,23,1,,,,Robert Brown,"Universal Sports & Entertainment Management, LLC ",-,Universal Sports & Entertainment
Miami Dolphins,43,Andrew Van Ginkel,LB,6-4,242,28,4,,,,Joseph Flanagan,BTI Sports Advisors,Joseph Flanagan,BTI Sports Advisors
Miami Dolphins,17,Jaylen Waddle,WR,5-10,182,24,2,,,,Joel Segal,WME Football,Joel Segal,SportFive
Miami Dolphins,14,Mike White,QB,6-5,218,28,4,,,,Joel Segal,WME Football,Joel Segal,Lagardere Sports
Miami Dolphins,94,Christian Wilkins,DT,6-4,310,27,4,,,,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Miami Dolphins,58,Connor Williams,OG,6-5,317,26,5,,,,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
Miami Dolphins,11,Cedrick Wilson,WR,6-2,197,27,5,,,,Carmen Wallace,Athletes First,Carmen Wallace,Athletes First
Miami Dolphins,23,Jeffery Wilson,RB,6-0,210,27,-,,,,-,-,-,-
Miami Dolphins,28,De'Von Achane,RB,5-9,188,--,1,,,,Erik Burkhardt,Roc Nation Sports,-,Roc Nation Sports
Miami Dolphins,35,Christopher Brooks,RB,6-1,223,--,-,,,,-,-,-,-
Miami Dolphins,85,River Cracraft,WR,6-0,198,29,4,,,,Travis Allen,Athletes First,-,Athletes First
Miami Dolphins,27,Keion Crossen,DB,5-10,195,27,5,,,,Lindsay Crook,Ascend Athletics,Lindsay Crook,Ascend Athletics
Miami Dolphins,57,Zeke Vandenburgh,DE,6-4,232,--,1,,,,-,-,-,-
Miami Dolphins,77,Isaiah Wynn,OT,6-2,310,27,5,,,,Todd France and Brian Ayrault,Athletes First and WME Football,"Todd France, Brian Ayrault, Ben Renzin",CAA Sports
Miami Dolphins,18,Erik Ezukanma,WR,6-2,206,23,1,,,,William McElroy,Select Sports Group,-,Select Sports Group
Miami Dolphins,N/,Quinton Bell,LB,6-4,251,27,2,,,,Rodney Williams and Brian Overstreet,United Sports Group and E. Overstreet Sports Management,"Rodney Williams, Brian Overstreet, Rodney Ardoin",United Sports Group
Miami Dolphins,38,Ethan Bonner,DB,6-1,186,--,1,,,,-,-,-,-
Miami Dolphins,88,Nick Bowers,TE,6-4,260,27,2,,,,-,-,-,-
Miami Dolphins,80,Tanner Conner,TE,6-3,232,25,1,,,,Cameron Foster,Steinberg Sports & Entertainment,Cameron Foster,Equity Sports
Miami Dolphins,95,Byron Cowart,DT,6-3,300,27,3,,,,Jeremy Cohen,JL Sports,-,JL Sports
Miami Dolphins,N/,Jake Funk,RB,5-10,205,--,2,,,,Dan Saffron/Samantha Sankovich,Steinberg Sports & Entertainment |,"Dan Saffron, Samantha Sankovich",Equity Sports
Miami Dolphins,76,Ryan Hayes,OT,6-7,305,--,1,,,,-,-,-,-
Miami Dolphins,63,Chasen Hines,C,6-3,320,23,1,,,,Jovan Barnes,Independent Sports & Entertainment ,-,Independent Sports & Entertainment 
Miami Dolphins,59,A.J. Johnson,LB,6-2,255,31,5,,,,-,-,-,-
Miami Dolphins,97,Rashard Lawrence,DT,6-2,308,25,3,,,,"Patrick Dye, Jr.",SportsTrust Advisors,-,SportsTrust Advisors
Miami Dolphins,32,Verone McKinley,DB,5-10,195,24,1,,,,-,-,-,-
Miami Dolphins,34,Parry Nickerson,DB,5-10,179,29,4,,,,Martin Fischman,Ballengee Group,"Stanley Wiltz, Martin Fischman",Fischman & Wiltz Sports
Miami Dolphins,86,Braylon Sanders,WR,6-1,194,24,1,,,,-,-,-,-
Miami Dolphins,88,Freddie Swain,WR,6-0,197,25,3,,,,Adam Petrus,ProPlayer Sports,-,ProPlayer Sports
Miami Dolphins,62,Alama Uluave,C,6-2,303,--,1,,,,-,-,-,-
Miami Dolphins,83,Raleigh Webb,WR,6-2,212,25,1,,,,-,-,-,-
