Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Tennessee Titans,2,Azeez Al-Shaair,LB,6-2,228,26,4,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Tennessee Titans,96,Denico Autry,DE,6-5,285,33,9,,,,-,-,-,-
Tennessee Titans,23,Tre Avery,DB,5-11,181,26,1,,,,Dan Saffron/Samantha Sankovich,Steinberg Sports & Entertainment ,"Dan Saffron, Samantha Sankovich",Equity Sports
Tennessee Titans,55,Aaron Brewer,OG,6-1,274,26,3,,,,Bryan Ehrlich,Generation Sports Group,Bryan Ehrlich,-
Tennessee Titans,60,Daniel Brunskill,OG,6-5,300,29,4,,,,-,-,-,-
Tennessee Titans,16,Treylon Burks,WR,6-2,225,23,1,,,,-,-,J.R. Carroll,-
Tennessee Titans,46,Morgan Cox,LS,6-4,233,37,13,,,,-,-,-,CAA Sports
Tennessee Titans,71,Andre Dillard,OT,6-5,315,28,4,,,,Chase Callahan,REP 1 Football,Chase Callahan,REP 1 Football
Tennessee Titans,14,Colton Dowell,WR,6-3,212,--,1,,,,-,-,-,-
Tennessee Titans,79,Jaelyn Duncan,OT,6-6,306,--,1,,,,-,-,-,-
Tennessee Titans,38,Terrell Edmunds,DB,6-1,217,26,5,,,,Brian Ayrault,WME Football,"Todd France, Brian Ayrault, Ben Renzin",CAA Sports
Tennessee Titans,6,Nick Folk,K,6-1,222,39,15,,,,-,-,-,Premier Sports
Tennessee Titans,26,Kristian Fulton,DB,5-11,197,25,3,,,,Shahin Aslani,Wasserman Media Group,-,Wasserman
Tennessee Titans,33,Eric Garror,DB,5-8,174,--,1,,,,-,-,-,-
Tennessee Titans,50,Jack Gibbens,LB,6-3,242,24,1,,,,-,-,-,-
Tennessee Titans,57,Luke Gifford,LB,6-3,243,28,4,,,,Ronald Slavin,"SPORTSTARS, INC.",Ronald Slavin,"SPORTSTARS, INC."
Tennessee Titans,51,Trevis Gipson,LB,6-4,263,26,3,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Tennessee Titans,22,Derrick Henry,RB,6-3,247,29,7,,,,-,-,-,CAA Sports
Tennessee Titans,37,Amani Hooker,DB,5-11,210,25,4,,,,Jack Bechta,JB Sports Inc.,Jack Bechta,JB Sports Inc.
Tennessee Titans,10,DeAndre Hopkins,WR,6-1,218,31,9,,,,Kelton Crenshaw,Klutch Sports Group,Kelton Crenshaw,Klutch Sports Group
Tennessee Titans,66,Chris Hubbard,OT,6-4,295,32,9,,,,-,-,-,-
Tennessee Titans,39,Matthew Jackson,DB,6-1,209,--,-,,,,-,-,-,-
Tennessee Titans,94,Jaleel Johnson,DT,6-3,316,29,6,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Tennessee Titans,90,Naquan Jones,DT,6-3,313,25,2,,,,-,-,-,-
Tennessee Titans,40,Anthony Kendall,DB,5-10,177,--,1,,,,-,-,-,-
Tennessee Titans,49,Arden Key,LB,6-5,240,27,5,,,,-,-,"Tory Dandy, Jimmy Sexton",CAA Sports
Tennessee Titans,58,Harold Landry,LB,6-2,252,27,5,,,,Tommy Condon and Todd France,CAA Football and Athletes First,"Tom Condon, Tommy Condon, Todd France, Ben Renzin",CAA Sports
Tennessee Titans,62,Corey Levin,C,6-4,307,29,4,,,,Billy Conaty,Eastern Athletic Services,Billy Conaty,-
Tennessee Titans,8,Will Levis,QB,6-4,229,--,1,,,,-,-,-,CAA Sports
Tennessee Titans,21,Roger McCreary,DB,5-11,190,23,1,,,,Julian Carrington,BC Sports Inc.,-,BC Sports Inc.
Tennessee Titans,24,Elijah Molden,DB,5-10,192,24,2,,,,Shahin Aslani,Wasserman Media Group,"Doug Hendrickson, C.J. Laboy",Wasserman Media Group
Tennessee Titans,11,Chris Moore,WR,6-1,200,30,7,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Tennessee Titans,42,Caleb Murphy,LB,6-3,254,--,1,,,,-,-,-,-
Tennessee Titans,0,Sean Murphy-Bunting,DB,6-0,195,26,-,,,,-,-,-,-
Tennessee Titans,85,Chigoziem Okonkwo,TE,6-3,238,24,-,,,,William Heck,"SPORTSTARS, INC.",-,-
Tennessee Titans,95,Kyle Peko,DT,6-1,305,30,4,,,,Landon Betsworth,Athletes Trust,Landon Betsworth,Athletes Trust
Tennessee Titans,78,Nicholas Petit-Frere,OT,6-5,316,24,1,,,,Charles Lilly,WME Sports,-,WME Sports
Tennessee Titans,18,Kyle Philips,WR,5-11,189,24,1,,,,Travis Allen,Athletes First,-,Athletes First
Tennessee Titans,86,Kevin Rader,TE,6-4,250,28,2,,,,Anthony Agnone,Eastern Athletic Services ,-,Eastern Athletic Services 
Tennessee Titans,75,Dillon Radunz,OT,6-6,301,25,2,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
Tennessee Titans,56,Monty Rice,LB,6-0,233,--,2,,,,Joel Segal,WME Football,Joel Segal,SportFive
Tennessee Titans,98,Jeffery Simmons,DT,6-4,305,26,4,,,,Paul DeRousselle,-,Paul DeRousselle,-
Tennessee Titans,77,Peter Skoronski,OT,6-4,313,--,1,,,,Patrick Collins and Tommy Condon,CAA Football,"Patrick Collins, Tommy Condon",CAA Football
Tennessee Titans,32,Tyjae Spears,RB,5-10,200,--,1,,,,Martin Fischman,Ballengee Group,-,Ballengee Group
Tennessee Titans,4,Ryan Stonehouse,P,5-10,193,24,1,,,,-,-,-,-
Tennessee Titans,17,Ryan Tannehill,QB,6-4,217,35,11,,,,Brian Ayrault,WME Football,Brian Ayrault,CAA Football
Tennessee Titans,93,Teair Tart,DT,6-2,304,26,3,,,,-,-,-,-
Tennessee Titans,35,K'Von Wallace,DB,5-11,205,26,3,,,,-,-,-,The Legacy Agency
Tennessee Titans,99,Rashad Weaver,LB,6-4,259,25,2,,,,Kyle Dolan,VaynerSports,"Gary Vaynerchuck, AJ Vaynerchuk",VaynerSports
Tennessee Titans,88,Trevon Wesco,TE,6-3,267,28,4,,,,Jared Fox/Alan Herman,"SPORTSTARS, INC.","Alan Herman, Jamie Mullen, Jared Fox","SPORTSTARS, INC."
Tennessee Titans,15,Nick Westbrook,WR,6-2,211,26,3,,,,-,-,-,-
Tennessee Titans,81,Josh Whyle,TE,6-7,248,--,1,,,,-,-,-,-
Tennessee Titans,7,Malik Willis,QB,6-1,219,24,1,,,,Travis Allen,Athletes First,-,Athletes First
Tennessee Titans,44,Mike Brown,DB,6-1,222,24,1,,,,-,-,-,-
Tennessee Titans,91,Shakel Brown,DT,6-3,295,--,1,,,,-,-,-,-
Tennessee Titans,36,Julius Chestnut,RB,5-11,228,23,1,,,,-,-,-,-
Tennessee Titans,25,Hassan Haskins,RB,6-2,228,--,1,,,,Shahin Aslani,Wasserman Media Group,-,Wasserman Media Group
Tennessee Titans,5,Kearis Jackson,WR,5-11,196,--,1,,,,-,-,-,-
Tennessee Titans,97,Taylor Stallworth,DT,6-2,305,28,4,,,,-,-,-,-
Tennessee Titans,3,Caleb Farley,DB,6-2,197,25,2,,,,Drew Rosenhaus/Robert Bailey,Rosenhaus Sports Representation,"Drew Rosenhaus, Robert Bailey",Rosenhaus Sports Representation
Tennessee Titans,45,Chance Campbell,LB,6-2,232,24,1,,,,Dan Saffron,Steinberg Sports & Entertainment |,"Dan Saffron, Samantha Sankovich ",Equity Sports
Tennessee Titans,28,Shyheim Carter,DB,5-10,194,25,1,,,,-,-,-,-
Tennessee Titans,29,Dane Cruikshank,DB,6-1,209,28,5,,,,Michael Hoffman,Sports Law and Management (SLAM),Michael Hoffman,Sports Law and Management (SLAM)
Tennessee Titans,92,Marlon Davidson,DT,6-3,303,25,3,,,,Chad Speck,Allegiant Athletic Agency,-,Allegiant Athletic Agency
Tennessee Titans,30,Tay Gowan,DB,6-2,185,25,2,,,,Brian Levy,Goal Line Football LLC,Brian Levy,Goal Line Football
Tennessee Titans,82,Tre'shaun Harrison,WR,5-11,188,--,1,,,,-,-,-,-
Tennessee Titans,52,Joseph Jones,LB,6-0,240,29,-,,,,-,-,-,-
Tennessee Titans,12,Mason Kinsey,WR,5-10,203,25,1,,,,-,-,-,-
Tennessee Titans,69,T.K. McLendon,DE,6-4,275,--,1,,,,-,-,-,-
Tennessee Titans,89,Thomas Odukoya,TE,6-6,253,26,1,,,,Kevin Conner,"Universal Sports & Entertainment Managment,LLC",Kevin Conner,Universal Sports & Entertainment
Tennessee Titans,61,John Ojukwu,OT,6-5,309,--,1,,,,-,-,-,-
Tennessee Titans,41,Otis Reese,LB,6-3,214,--,1,,,,-,-,-,-
Tennessee Titans,76,Andrew Rupcich,OT,6-6,318,24,1,,,,William Heck,"SPORTSTARS, INC.",-,"SPORTSTARS, INC."
Tennessee Titans,48,Thomas Rush,LB,6-3,251,--,1,,,,-,-,-,-
Tennessee Titans,80,Shi Smith,WR,5-10,190,25,2,,,,-,-,-,Element Sports Group
Tennessee Titans,20,Jonathan Ward,RB,6-0,202,26,3,,,,-,-,-,-
